Cidade;Latitude;Longitude
SERINGUEIRAS;-11,767117;-63,038761
TEIXEIRÓPOLIS;-10,932169;-62,255922
THEOBROMA;-10,248731;-62,345146
URUPÁ;-11,128545;-62,370632
VALE DO ANARI;-9,851393;-62,176823
VALE DO PARAÍSO;-10,431053;-62,13439
ACRELÂNDIA;-10,073794;-67,052317
ASSIS BRASIL;-10,942866;-69,563459
BRASILÉIA;-11,016411;-68,747943
BUJARI;-9,82002;-67,951859
CAPIXABA;-10,569768;-67,673508
CRUZEIRO DO SUL;-7,63069;-72,672531
EPITACIOLÂNDIA;-11,02824;-68,744868
FEIJÓ;-8,160248;-70,353984
JORDÃO;-9,193358;-71,950875
MÂNCIO LIMA;-7,593223;-72,916501
MANOEL URBANO;-8,836318;-69,259945
MARECHAL THAUMATURGO;-8,953591;-72,790266
PLÁCIDO DE CASTRO;-10,335133;-67,18826
PORTO WALTER;-8,266666;-72,742334
RIO BRANCO;-9,978299;-67,810529
RODRIGUES ALVES;-7,733602;-72,647855
SANTA ROSA DO PURUS;-9,443407;-70,486497
SENADOR GUIOMARD;-10,148174;-67,743172
SENA MADUREIRA;-9,06534;-68,655684
TARAUACÁ;-8,155669;-70,755501
XAPURI;-10,652072;-68,506295
PORTO ACRE;-9,600858;-67,54059
ALVARÃES;-3,216584;-64,813535
AMATURÁ;-3,366805;-68,209615
ANAMÃ;-3,57637;-61,405903
ANORI;-3,745386;-61,658955
APUÍ;-7,19787;-59,885666
ATALAIA DO NORTE;-4,366157;-70,187989
AUTAZES;-3,578664;-59,133567
BARCELOS;-0,972801;-62,92567
BARREIRINHA;-2,79815;-57,06775
BENJAMIN CONSTANT;-4,374989;-70,027348
BERURI;-3,894513;-61,371571
BOA VISTA DO RAMOS;-2,971727;-57,587707
BOCA DO ACRE;-8,751243;-67,399578
BORBA;-4,39062;-59,594559
CAAPIRANGA;-3,330093;-61,211334
CANUTAMA;-6,529106;-64,394231
CARAUARI;-4,881666;-66,896635
CAREIRO;-3,822447;-60,36381
CAREIRO DA VÁRZEA;-3,197397;-59,826314
COARI;-4,084219;-63,142184
CODAJÁS;-3,843046;-62,06343
EIRUNEPÉ;-6,667353;-69,86629
ENVIRA;-7,439818;-70,030413
FONTE BOA;-2,512271;-66,096503
GUAJARÁ;-7,547774;-72,582431
HUMAITÁ;-7,512225;-63,026698
IPIXUNA;-7,05098;-71,694418
IRANDUBA;-3,281054;-60,193388
ITACOATIARA;-3,140379;-58,440175
ITAMARATI;-6,437799;-68,247917
ITAPIRANGA;-2,741843;-58,034546
JAPURÁ;-1,880845;-66,996903
JURUÁ;-3,47489;-66,063042
JUTAÍ;-2,744646;-66,771328
LÁBREA;-7,261947;-64,794773
MANACAPURU;-3,298278;-60,620589
MANAQUIRI;-3,42908;-60,458881
MANAUS;-3,134691;-60,023335
MANICORÉ;-5,813205;-61,299248
MARAÃ;-1,866437;-65,574284
MAUÉS;-3,386428;-57,715034
NHAMUNDÁ;-2,188984;-56,71677
NOVA OLINDA DO NORTE;-3,887593;-59,093074
NOVO AIRÃO;-2,623432;-60,948811
NOVO ARIPUANÃ;-5,122669;-60,377046
PARINTINS;-2,627053;-56,736292
PAUINI;-7,714044;-67,002097
PRESIDENTE FIGUEIREDO;-2,058429;-60,025647
RIO PRETO DA EVA;-2,693302;-59,704738
SANTA ISABEL DO RIO NEGRO;-0,416695;-65,020023
SANTO ANTÔNIO DO IÇÁ;-3,107486;-67,946485
SÃO GABRIEL DA CACHOEIRA;-0,136463;-67,083643
SÃO PAULO DE OLIVENÇA;-3,46651;-68,944853
SÃO SEBASTIÃO DO UATUMÃ;-2,570153;-57,870346
SILVES;-2,836427;-58,214801
TABATINGA;-4,231884;-69,946244
TAPAUÁ;-5,624224;-63,187095
TEFÉ;-3,348372;-64,70842
TONANTINS;-2,861091;-67,776482
UARINI;-2,983609;-65,155346
URUCARÁ;-2,536612;-57,759828
URUCURITUBA;-3,134633;-58,159641
AMAJARI;3,652118;-61,42059
ALTO ALEGRE;2,993823;-61,314022
BOA VISTA;2,816682;-60,670533
BONFIM;3,350289;-59,878007
CANTÁ;2,607666;-60,602063
CARACARAÍ;1,803871;-61,149177
CAROEBE;0,872675;-59,69481
IRACEMA;2,168215;-61,052259
MUCAJAÍ;2,479772;-60,911519
NORMANDIA;3,882978;-59,635206
PACARAIMA;4,475259;-61,147306
RORAINÓPOLIS;0,937195;-60,42506
SÃO JOÃO DA BALIZA;0,947157;-59,906044
SÃO LUIZ;1,018112;-60,028267
UIRAMUTÃ;4,58544;-60,195716
ABAETETUBA;-1,72347;-48,884404
ABEL FIGUEIREDO;-4,951391;-48,396762
ACARÁ;-1,963437;-48,200456
AFUÁ;-0,159172;-50,391428
ÁGUA AZUL DO NORTE;-6,804949;-50,485275
ALENQUER;-1,951398;-54,740862
ALMEIRIM;-1,527339;-52,576835
ALTAMIRA;-3,20566;-52,214376
ANAJÁS;-0,984451;-49,945001
ANANINDEUA;-1,368714;-48,372067
ANAPU;-3,476105;-51,201622
AUGUSTO CORRÊA;-1,022921;-46,641646
AURORA DO PARÁ;-2,129376;-47,556175
AVEIRO;-3,605595;-55,330734
BAGRE;-1,889808;-50,221987
BAIÃO;-2,791962;-49,672753
BANNACH;-7,351072;-50,406047
BARCARENA;-1,505767;-48,627073
BELÉM;-1,459845;-48,487826
BELTERRA;-2,64902;-54,942675
BENEVIDES;-1,361438;-48,241836
BOM JESUS DO TOCANTINS;-5,047363;-48,59904
BONITO;-1,367474;-47,305892
BRAGANÇA;-1,053524;-46,765754
BRASIL NOVO;-3,297804;-52,543441
BREJO GRANDE DO ARAGUAIA;-5,707296;-48,40576
BREU BRANCO;-3,778135;-49,56988
BREVES;-1,690737;-50,480895
BUJARU;-1,513991;-48,035875
CACHOEIRA DO PIRIÁ;-1,752897;-46,547391
CACHOEIRA DO ARARI;-1,008786;-48,960668
CAMETÁ;-2,246838;-49,49783
CANAÃ DOS CARAJÁS;-6,532197;-49,848958
CAPANEMA;-1,192442;-47,175126
CAPITÃO POÇO;-1,746187;-47,062825
CASTANHAL;-1,295757;-47,926643
CHAVES;-0,162437;-49,989319
COLARES;-0,932091;-48,288728
CONCEIÇÃO DO ARAGUAIA;-8,264864;-49,264501
CONCÓRDIA DO PARÁ;-1,984521;-47,949887
CUMARU DO NORTE;-7,811107;-50,771578
CURIONÓPOLIS;-6,09682;-49,602214
CURRALINHO;-1,809423;-49,791523
CURUÁ;-1,889929;-55,119679
CURUÇÁ;-0,732496;-47,851265
DOM ELISEU;-4,290778;-47,555915
ELDORADO DOS CARAJÁS;-6,103525;-49,373952
FARO;-2,172975;-56,745753
FLORESTA DO ARAGUAIA;-7,558701;-49,697578
GARRAFÃO DO NORTE;-1,931697;-47,045046
GOIANÉSIA DO PARÁ;-3,842468;-49,101045
GURUPÁ;-1,404918;-51,643696
IGARAPÉ-AÇU;-1,124322;-47,622375
IGARAPÉ-MIRI;-1,983116;-48,962299
INHANGAPI;-1,426582;-47,913393
IPIXUNA DO PARÁ;-2,557529;-47,499718
IRITUIA;-1,771475;-47,440756
ITAITUBA;-4,263729;-55,990049
ITUPIRANGA;-5,128837;-49,324426
JACAREACANGA;-6,223552;-57,76634
JACUNDÁ;-4,448405;-49,112782
JURUTI;-2,155253;-56,094998
LIMOEIRO DO AJURU;-1,891949;-49,381534
MÃE DO RIO;-2,047707;-47,55229
MAGALHÃES BARATA;-0,79585;-47,599182
MARABÁ;-5,352606;-49,142025
MARACANÃ;-0,762419;-47,455268
MARAPANIM;-0,712151;-47,702549
MARITUBA;-1,346417;-48,340536
MEDICILÂNDIA;-3,445417;-52,888345
MELGAÇO;-1,803447;-50,717465
MOCAJUBA;-2,582873;-49,509023
MOJU;-1,885889;-48,767199
MONTE ALEGRE;-2,003328;-54,073375
MUANÁ;-1,530026;-49,216832
NOVA ESPERANÇA DO PIRIÁ;-2,267626;-46,962093
NOVA IPIXUNA;-4,923086;-49,079887
NOVA TIMBOTEUA;-1,204144;-47,393202
NOVO PROGRESSO;-7,034836;-55,41987
NOVO REPARTIMENTO;-4,248149;-49,948638
ÓBIDOS;-1,909235;-55,516324
OEIRAS DO PARÁ;-2,004734;-49,855106
ORIXIMINÁ;-1,763754;-55,8628
OURÉM;-1,548947;-47,117619
OURILÂNDIA DO NORTE;-6,740617;-51,090833
PACAJÁ;-3,830306;-50,634841
PALESTINA DO PARÁ;-5,749934;-48,321794
PARAGOMINAS;-2,994191;-47,356962
PARAUAPEBAS;-6,07273;-49,900781
PAU D'ARCO;-7,836794;-50,048276
PEIXE-BOI;-1,189569;-47,317927
PIÇARRA;-6,453676;-48,868401
PLACAS;-3,867316;-54,216968
PONTA DE PEDRAS;-1,3966;-48,871786
PORTEL;-1,936451;-50,82249
PORTO DE MOZ;-1,74609;-52,242477
PRAINHA;-1,805695;-53,481814
PRIMAVERA;-0,940112;-47,117251
QUATIPURU;-0,900116;-47,006787
REDENÇÃO;-8,027605;-50,029642
RIO MARIA;-7,311115;-50,046411
RONDON DO PARÁ;-4,777822;-48,069974
RURÓPOLIS;-4,099065;-54,905862
SALINÓPOLIS;-0,623638;-47,35312
SALVATERRA;-0,754526;-48,513187
SANTA BÁRBARA DO PARÁ;-1,229439;-48,297741
SANTA CRUZ DO ARARI;-0,659974;-49,171616
SANTA ISABEL DO PARÁ;-1,297396;-48,16306
SANTA LUZIA DO PARÁ;-1,518828;-46,906169
SANTA MARIA DAS BARREIRAS;-8,870551;-49,719352
SANTA MARIA DO PARÁ;-1,347866;-47,574695
SANTANA DO ARAGUAIA;-9,329425;-50,344804
SANTARÉM;-2,436213;-54,71857
SANTARÉM NOVO;-0,92872;-47,400925
SANTO ANTÔNIO DO TAUÁ;-1,151693;-48,132433
SÃO CAETANO DE ODIVELAS;-0,746618;-48,025805
SÃO DOMINGOS DO ARAGUAIA;-5,549841;-48,720373
SÃO DOMINGOS DO CAPIM;-1,675815;-47,774785
SÃO FÉLIX DO XINGU;-6,642483;-51,993783
SÃO FRANCISCO DO PARÁ;-1,170189;-47,790515
SÃO GERALDO DO ARAGUAIA;-6,398958;-48,555712
SÃO JOÃO DA PONTA;-0,851002;-47,920724
SÃO JOÃO DE PIRABAS;-0,766443;-47,172674
SÃO JOÃO DO ARAGUAIA;-5,359003;-48,788633
SÃO MIGUEL DO GUAMÁ;-1,617136;-47,482409
SÃO SEBASTIÃO DA BOA VISTA;-1,718851;-49,532312
SAPUCAIA;-6,942857;-49,703581
SENADOR JOSÉ PORFÍRIO;-2,59485;-51,953056
SOURE;-0,725926;-48,516013
TAILÂNDIA;-2,93708;-48,951282
TERRA ALTA;-1,034827;-47,907808
TERRA SANTA;-2,108114;-56,490905
TOMÉ-AÇU;-2,419367;-48,146897
TRACUATEUA;-1,068784;-46,899478
TRAIRÃO;-4,699819;-55,99617
TUCUMÃ;-6,749972;-51,139539
TUCURUÍ;-3,766889;-49,667184
ULIANÓPOLIS;-3,757193;-47,503145
URUARÁ;-3,706529;-53,737031
VIGIA;-0,855533;-48,141499
VISEU;-1,203279;-46,138765
VITÓRIA DO XINGU;-2,883766;-52,01126
XINGUARA;-7,101513;-49,942701
SERRA DO NAVIO;0,897841;-52,003538
AMAPÁ;2,053921;-50,793214
PEDRA BRANCA DO AMAPARI;0,776883;-51,946594
CALÇOENE;2,496559;-50,944773
CUTIAS;0,971078;-50,801626
FERREIRA GOMES;0,853977;-51,187429
ITAUBAL;0,600653;-50,700179
LARANJAL DO JARI;-0,855665;-52,539021
MACAPÁ;0,038951;-51,057405
MAZAGÃO;-0,124396;-51,286077
OIAPOQUE;3,851131;-51,830553
PORTO GRANDE;0,712555;-51,414449
PRACUÚBA;1,742508;-50,784254
SANTANA;-0,038373;-51,172846
TARTARUGALZINHO;1,509848;-50,912786
VITÓRIA DO JARI;-0,918977;-52,419615
ABREULÂNDIA;-9,621791;-49,162438
AGUIARNÓPOLIS;-6,547171;-47,470457
ALIANÇA DO TOCANTINS;-11,303743;-48,94124
ALMAS;-11,574523;-47,174172
ALVORADA;-12,478815;-49,126811
ANANÁS;-6,362818;-48,079765
ANGICO;-6,387753;-47,862078
APARECIDA DO RIO NEGRO;-9,955878;-47,97667
ARAGOMINAS;-7,164349;-48,52343
ARAGUACEMA;-8,801803;-49,561813
ARAGUAÇU;-12,925584;-49,828612
ARAGUAÍNA;-7,191329;-48,208705
ARAGUANÃ;-6,582249;-48,64375
ARAGUATINS;-5,650586;-48,123507
ARAPOEMA;-7,65257;-49,075637
ARRAIAS;-12,93442;-46,946107
AUGUSTINÓPOLIS;-5,465414;-47,880957
AURORA DO TOCANTINS;-12,70849;-46,407083
AXIXÁ DO TOCANTINS;-5,624309;-47,774156
BABAÇULÂNDIA;-7,201865;-47,758816
BANDEIRANTES DO TOCANTINS;-7,764859;-48,578381
BARRA DO OURO;-7,691767;-47,687135
BARROLÂNDIA;-9,831653;-48,731461
BERNARDO SAYÃO;-7,868512;-48,899054
BOM JESUS DO TOCANTINS;-8,963348;-48,16638
BRASILÂNDIA DO TOCANTINS;-8,384889;-48,485374
BREJINHO DE NAZARÉ;-11,010805;-48,55866
BURITI DO TOCANTINS;-5,313539;-48,22325
CACHOEIRINHA;-6,113242;-47,914198
CAMPOS LINDOS;-7,971681;-46,801974
CARIRI DO TOCANTINS;-11,888997;-49,171041
CARMOLÂNDIA;-7,031479;-48,39596
CARRASCO BONITO;-5,322661;-48,030633
CASEARA;-9,267406;-49,948692
CENTENÁRIO;-8,958464;-47,338399
CHAPADA DE AREIA;-10,141989;-49,183108
CHAPADA DA NATIVIDADE;-11,624268;-47,753905
COLINAS DO TOCANTINS;-8,054625;-48,481595
COMBINADO;-12,818608;-46,552072
CONCEIÇÃO DO TOCANTINS;-12,217278;-47,292869
COUTO MAGALHÃES;-8,355118;-49,176572
CRISTALÂNDIA;-10,590725;-49,1863
CRIXÁS DO TOCANTINS;-11,104274;-48,915514
DARCINÓPOLIS;-6,712351;-47,752161
DIANÓPOLIS;-11,625232;-46,820409
DIVINÓPOLIS DO TOCANTINS;-9,795301;-49,205413
DOIS IRMÃOS DO TOCANTINS;-9,261297;-49,067339
DUERÉ;-11,341285;-49,265876
ESPERANTINA;-5,366608;-48,544148
FÁTIMA;-10,752509;-48,898983
FIGUEIRÓPOLIS;-12,13678;-49,173847
FILADÉLFIA;-7,337612;-47,484964
FORMOSO DO ARAGUAIA;-11,805142;-49,52686
FORTALEZA DO TABOCÃO;-9,058965;-48,517426
GOIANORTE;-8,770521;-48,93689
GOIATINS;-7,709172;-47,315435
GUARAÍ;-8,836166;-48,508641
GURUPI;-11,729772;-49,071477
IPUEIRAS;-11,246289;-48,451926
ITACAJÁ;-8,390981;-47,768112
ITAGUATINS;-5,775385;-47,479936
ITAPIRATINS;-8,38433;-48,1112
ITAPORÃ DO TOCANTINS;-8,568829;-48,693264
JAÚ DO TOCANTINS;-12,652926;-48,594608
JUARINA;-8,117424;-49,098643
LAGOA DA CONFUSÃO;-10,788696;-49,620085
LAGOA DO TOCANTINS;-10,296887;-47,561447
LAJEADO;-9,744682;-48,358504
LAVANDEIRA;-12,791659;-46,506676
LIZARDA;-9,59457;-46,675165
LUZINÓPOLIS;-6,19399;-47,856828
MARIANÓPOLIS DO TOCANTINS;-9,79888;-49,651034
MATEIROS;-10,544429;-46,412466
MAURILÂNDIA DO TOCANTINS;-5,952566;-47,50488
MIRACEMA DO TOCANTINS;-9,568346;-48,387991
MIRANORTE;-9,517405;-48,592632
MONTE DO CARMO;-10,763542;-48,11042
MONTE SANTO DO TOCANTINS;-10,005591;-48,990891
PALMEIRAS DO TOCANTINS;-6,611862;-47,558684
MURICILÂNDIA;-7,138519;-48,606745
NATIVIDADE;-11,705357;-47,727258
NAZARÉ;-6,372558;-47,666977
NOVA OLINDA;-7,633315;-48,424807
NOVA ROSALÂNDIA;-10,566871;-48,906181
NOVO ACORDO;-9,968486;-47,668148
NOVO ALEGRE;-12,909939;-46,577297
NOVO JARDIM;-11,815875;-46,630787
OLIVEIRA DE FÁTIMA;-10,708363;-48,907402
PALMEIRANTE;-7,857561;-47,93425
PALMEIRÓPOLIS;-13,039888;-48,413414
PARAÍSO DO TOCANTINS;-10,171221;-48,88663
PARANÃ;-12,620481;-47,884084
PAU D'ARCO;-7,539998;-49,363306
PEDRO AFONSO;-8,96445;-48,177556
PEIXE;-12,029774;-48,537811
PEQUIZEIRO;-8,593341;-48,93518
COLMÉIA;-8,729372;-48,757067
PINDORAMA DO TOCANTINS;-11,138203;-47,575688
PIRAQUÊ;-6,769777;-48,293707
PIUM;-10,440931;-49,166658
PONTE ALTA DO BOM JESUS;-12,087813;-46,469587
PONTE ALTA DO TOCANTINS;-10,740673;-47,54118
PORTO ALEGRE DO TOCANTINS;-11,607259;-47,047426
PORTO NACIONAL;-10,70857;-48,412153
PRAIA NORTE;-5,396713;-47,814732
PRESIDENTE KENNEDY;-8,529961;-48,504331
PUGMIL;-10,424307;-48,89422
RECURSOLÂNDIA;-8,73536;-47,238041
RIACHINHO;-6,442211;-48,141046
RIO DA CONCEIÇÃO;-11,40494;-46,8804
RIO DOS BOIS;-9,343742;-48,533048
RIO SONO;-9,347789;-47,899942
SAMPAIO;-5,349296;-47,875792
SANDOLÂNDIA;-12,5416;-49,933388
SANTA FÉ DO ARAGUAIA;-7,149936;-48,693942
SANTA MARIA DO TOCANTINS;-8,774976;-47,74527
SANTA RITA DO TOCANTINS;-10,866455;-48,909294
SANTA ROSA DO TOCANTINS;-11,451404;-48,119954
SANTA TEREZA DO TOCANTINS;-10,282362;-47,806288
SANTA TEREZINHA DO TOCANTINS;-6,436998;-47,684285
SÃO BENTO DO TOCANTINS;-6,044999;-47,919392
SÃO FÉLIX DO TOCANTINS;-10,173286;-46,654981
SÃO MIGUEL DO TOCANTINS;-5,55382;-47,573002
SÃO SALVADOR DO TOCANTINS;-12,747433;-48,232085
SÃO SEBASTIÃO DO TOCANTINS;-5,258961;-48,203834
SÃO VALÉRIO;-11,973067;-48,232948
SILVANÓPOLIS;-11,149861;-48,179824
SÍTIO NOVO DO TOCANTINS;-5,604727;-47,637423
SUCUPIRA;-11,986222;-48,911126
TAGUATINGA;-12,396142;-46,438732
TAIPAS DO TOCANTINS;-12,192837;-46,984572
TALISMÃ;-12,787538;-49,091118
PALMAS;-10,163253;-48,351044
TOCANTÍNIA;-9,558148;-48,37588
TOCANTINÓPOLIS;-6,325634;-47,427413
TUPIRAMA;-8,98057;-48,206685
TUPIRATINS;-8,39553;-48,122996
WANDERLÂNDIA;-6,850126;-47,956268
XAMBIOÁ;-6,411885;-48,531601
AÇAILÂNDIA;-4,951377;-47,506665
AFONSO CUNHA;-4,135015;-43,320869
ÁGUA DOCE DO MARANHÃO;-2,840278;-42,115551
ALCÂNTARA;-2,403277;-44,417013
ALDEIAS ALTAS;-4,630779;-43,468735
ALTAMIRA DO MARANHÃO;-4,162269;-45,464676
ALTO ALEGRE DO MARANHÃO;-4,207227;-44,448247
ALTO ALEGRE DO PINDARÉ;-3,66517;-45,84208
ALTO PARNAÍBA;-9,108366;-45,927344
AMAPÁ DO MARANHÃO;-1,680921;-46,00918
AMARANTE DO MARANHÃO;-5,557662;-46,750638
ANAJATUBA;-3,257555;-44,62067
ANAPURUS;-3,667035;-43,105793
APICUM-AÇU;-1,530592;-45,076652
ARAGUANÃ;-2,949126;-45,668794
ARAIOSES;-2,889256;-41,899139
ARAME;-4,886082;-46,013636
ARARI;-3,459171;-44,778835
AXIXÁ;-2,837797;-44,054586
BACABAL;-4,231525;-44,781556
BACABEIRA;-2,985825;-44,315423
BACURI;-1,724046;-45,137349
BACURITUBA;-2,710872;-44,735742
BALSAS;-7,53117;-46,038993
BARÃO DE GRAJAÚ;-6,758955;-43,026453
BARRA DO CORDA;-5,50834;-45,239011
BARREIRINHAS;-2,750086;-42,827803
BELÁGUA;-3,156772;-43,510062
BELA VISTA DO MARANHÃO;-3,737733;-45,248246
BENEDITO LEITE;-7,2188;-44,559857
BEQUIMÃO;-2,462063;-44,78573
BERNARDO DO MEARIM;-4,630287;-44,764323
BOA VISTA DO GURUPI;-1,793296;-46,29871
BOM JARDIM;-3,544161;-45,601889
BOM JESUS DAS SELVAS;-4,489968;-46,853241
BOM LUGAR;-4,37551;-45,031108
BREJO;-3,679178;-42,750848
BREJO DE AREIA;-4,33063;-45,582095
BURITI;-3,945572;-42,925106
BURITI BRAVO;-5,835288;-43,835622
BURITICUPU;-4,325948;-46,451495
BURITIRANA;-5,588915;-47,017225
CACHOEIRA GRANDE;-2,931921;-44,059685
CAJAPIÓ;-2,882882;-44,673377
CAJARI;-3,323869;-45,007965
CAMPESTRE DO MARANHÃO;-6,164717;-47,367633
CÂNDIDO MENDES;-1,453889;-45,737268
CANTANHEDE;-3,628364;-44,381816
CAPINZAL DO NORTE;-4,721245;-44,330436
CAROLINA;-7,330783;-47,470092
CARUTAPERA;-1,200602;-46,023151
CAXIAS;-4,861675;-43,358539
CEDRAL;-1,997916;-44,53079
CENTRAL DO MARANHÃO;-2,191314;-44,831844
CENTRO DO GUILHERME;-2,456985;-46,03996
CENTRO NOVO DO MARANHÃO;-2,144292;-46,128409
CHAPADINHA;-3,740025;-43,361121
CIDELÂNDIA;-5,177421;-47,784233
CODÓ;-4,451338;-43,88608
COELHO NETO;-4,254738;-43,014014
COLINAS;-6,027366;-44,24978
CONCEIÇÃO DO LAGO-AÇU;-3,841118;-44,903016
COROATÁ;-4,128976;-44,125599
CURURUPU;-1,825521;-44,867762
DAVINÓPOLIS;-5,534456;-47,404996
DOM PEDRO;-5,038448;-44,44001
DUQUE BACELAR;-4,147819;-42,94418
ESPERANTINÓPOLIS;-4,870301;-44,886069
ESTREITO;-6,568085;-47,447883
FEIRA NOVA DO MARANHÃO;-6,963136;-46,687355
FERNANDO FALCÃO;-6,154978;-44,910707
FORMOSA DA SERRA NEGRA;-6,435304;-46,186357
FORTALEZA DOS NOGUEIRAS;-6,965926;-46,185558
FORTUNA;-5,736224;-44,160628
GODOFREDO VIANA;-1,4098;-45,771755
GONÇALVES DIAS;-5,143956;-44,305907
GOVERNADOR ARCHER;-5,025388;-44,275757
GOVERNADOR EDISON LOBÃO;-5,747412;-47,368936
GOVERNADOR EUGÊNIO BARROS;-5,322491;-44,246963
GOVERNADOR LUIZ ROCHA;-5,472865;-44,070887
GOVERNADOR NEWTON BELLO;-3,429705;-45,674502
GOVERNADOR NUNES FREIRE;-2,134962;-45,881481
GRAÇA ARANHA;-5,404821;-44,335791
GRAJAÚ;-5,818548;-46,142396
GUIMARÃES;-2,135077;-44,597746
HUMBERTO DE CAMPOS;-2,591224;-43,465092
ICATU;-2,774828;-44,065848
IGARAPÉ DO MEIO;-3,636709;-45,183328
IGARAPÉ GRANDE;-4,660854;-44,867403
IMPERATRIZ;-5,526524;-47,479811
ITAIPAVA DO GRAJAÚ;-5,144582;-45,792683
ITAPECURU MIRIM;-3,399045;-44,354263
ITINGA DO MARANHÃO;-4,455004;-47,52791
JATOBÁ;-5,819667;-44,219915
JENIPAPO DOS VIEIRAS;-5,369425;-45,633379
JOÃO LISBOA;-5,453663;-47,405036
JOSELÂNDIA;-4,972693;-44,699153
JUNCO DO MARANHÃO;-1,87461;-46,070726
LAGO DA PEDRA;-4,564745;-45,125891
LAGO DO JUNCO;-4,607643;-45,051344
LAGO VERDE;-4,038711;-44,937635
LAGOA DO MATO;-6,045277;-43,527559
LAGO DOS RODRIGUES;-4,612376;-44,976442
LAGOA GRANDE DO MARANHÃO;-4,993124;-45,390614
LAJEADO NOVO;-6,191609;-47,032448
LIMA CAMPOS;-4,517046;-44,46934
LORETO;-7,094454;-45,139242
LUÍS DOMINGUES;-1,32546;-45,895332
MAGALHÃES DE ALMEIDA;-3,396668;-42,201507
MARACAÇUMÉ;-2,056165;-45,958639
MARAJÁ DO SENA;-4,620313;-45,457238
MARANHÃOZINHO;-2,235617;-45,855611
MATA ROMA;-3,619046;-43,120389
MATINHA;-3,0984;-45,036429
MATÕES;-5,522465;-43,201208
MATÕES DO NORTE;-3,627519;-44,550245
MILAGRES DO MARANHÃO;-3,582207;-42,610753
MIRADOR;-6,377566;-44,36261
MIRANDA DO NORTE;-3,562645;-44,584276
MIRINZAL;-2,064224;-44,785756
MONÇÃO;-3,493932;-45,247585
MONTES ALTOS;-5,828563;-47,07044
MORROS;-2,861479;-44,044545
NINA RODRIGUES;-3,462464;-43,904485
NOVA COLINAS;-7,120566;-46,259325
NOVA IORQUE;-6,733203;-44,048627
NOVA OLINDA DO MARANHÃO;-2,799887;-45,704536
OLHO D'ÁGUA DAS CUNHÃS;-4,137276;-45,11958
OLINDA NOVA DO MARANHÃO;-2,997478;-45,003235
PAÇO DO LUMIAR;-2,528063;-44,098692
PALMEIRÂNDIA;-2,647774;-44,904464
PARAIBANO;-6,431825;-43,985762
PARNARAMA;-5,684467;-43,090401
PASSAGEM FRANCA;-6,173994;-43,781745
PASTOS BONS;-6,604028;-44,088603
PAULINO NEVES;-2,718206;-42,545424
PAULO RAMOS;-4,447957;-45,23998
PEDREIRAS;-4,569351;-44,603735
PEDRO DO ROSÁRIO;-2,968115;-45,346454
PENALVA;-3,293233;-45,176462
PERI MIRIM;-2,573055;-44,850291
PERITORÓ;-4,370225;-44,325854
PINDARÉ-MIRIM;-3,605501;-45,346868
PINHEIRO;-2,522741;-45,083927
PIO XII;-3,887588;-45,16996
PIRAPEMAS;-3,725329;-44,228281
